Name,Phone_number,Line_name,Bus_id,Date,Time,Booking_seat,Number_of_passengers,Booking_time,Up/Down,Day
FD6C45FAB6E48794,74156483FD6C45FAB6E4879419E4528E,AB449CC133B20A6B,1BCC5369055805BF,2020-10-29,19:30,|7D|,1,2020-10-29 19:13:13,1,29
4EEE3A99FDC46670,73232D314EEE3A99FDC46670AF7D1925,8B7CD7C25D9ABD82,084D803C5C69F6C4,2020-10-12,07:05,|10B|,1,2020-10-12 07:30:34,0,12
1BEB6268561BAD84,609091601BEB6268561BAD84168E9AF5,A02C7D64A5AD2330,769FC4C8BA8A2295,2020-10-27,19:00,|3D|,1,2020-10-27 18:11:03,1,27
24315773EF34192A,EB6FAB1F24315773EF34192A6F5808CC,41ADFD1EC3C07E7D,BBF5368F09FA2A3F,2020-10-09,06:55,|8D|,1,2020-10-08 19:39:39,0,9
26FBFEDF8BC74C70,8B9D8E4B26FBFEDF8BC74C70862A6891,050443DA43067C27,178BCE81B83E903B,2020-10-22,07:10,|2A|,1,2020-10-21 07:24:36,0,22
1DE2235CA58EEDBF,70CC45758EBB5934402F56D78CBC3691,9D5BFEC88C8B18B4,B9A8B5BC98C80986,2020-10-16,07:12,|8B|,1,2020-10-13 17:07:08,0,16
1783789DC7058480,6EB9D6011783789DC705848073AA3623,9D5BFEC88C8B18B4,B9A8B5BC98C80986,2020-10-20,17:10,|9D|,1,2020-10-18 22:40:53,1,20
6D0CD507E80E52A4,1D5C699C4D093A2D3E8B2ECDD101FCA1,FF79F821F2C6F550,B089B3F5693C2091,2020-10-19,18:50,|2B|,1,2020-10-19 18:10:38,1,19
608707F9AC7AD118,9DF3EE3D608707F9AC7AD118C65715DC,AB449CC133B20A6B,BE748320E2590217,2020-10-12,18:30,|1E|,1,2020-10-12 18:02:55,1,12
CFE10738FF96CF20,C149BB406DA8D8D1D6E3967624E12225,AB449CC133B20A6B,4993C4C98035F0A9,2020-10-10,07:45,|1A|,1,2020-10-09 10:54:37,0,10
A3894FFA8F078A49,E08CA80FA3894FFA8F078A49B5E69891,AB449CC133B20A6B,4993C4C98035F0A9,2020-10-16,07:45,|9B|,1,2020-10-16 01:47:14,0,16
8BF48591D0CC2DC0,E71D12E026C381048E5033EAEE979089,AB449CC133B20A6B,07AFC0B9333D02A4,2020-10-21,07:30,|1E|,1,2020-10-20 19:29:36,0,21
902CDAB96B83C7D0,D25CAE0F902CDAB96B83C7D048C081C6,3CF6E855FF8DA9AC,9D046EE2409818C1,2020-10-10,08:00,|4D|,1,2020-10-10 07:57:49,0,10
801B894AF4B85002,B7ECFA47801B894AF4B850025AE7BF40,41ADFD1EC3C07E7D,BBF5368F09FA2A3F,2020-10-23,18:15,|1A|,1,2020-10-23 17:47:20,1,23
6B047CD76C9EA5F0,6B99C05D6B047CD76C9EA5F0B50CA3F2,6BC9A7E72510FB3D,1B157B61C5287F7D,2020-10-14,07:22,|3A|,1,2020-10-14 06:34:25,0,14
B460A894BFA23238,961ACE65B460A894BFA23238BFBB9E1F,9D5BFEC88C8B18B4,B9A8B5BC98C80986,2020-10-12,17:10,|11B|,1,2020-10-07 22:56:36,1,12
807F76859EE2931E,1E8992B9807F76859EE2931E778E75E0,FF79F821F2C6F550,20A3FCBFB0682929,2020-10-28,08:27,|7D|,1,2020-10-28 08:26:52,0,28
5777C578DE7D162D,704D53F9AF7FBF503ED9CF8743FCBF77,AB449CC133B20A6B,8CB646F297C86FE6,2020-10-15,07:15,|6E|,1,2020-10-14 15:37:36,0,15
F2BBB48DBD36CCD0,58F7D90DF2BBB48DBD36CCD04BBAC1DF,FF79F821F2C6F550,20A3FCBFB0682929,2020-10-22,18:10,|7D|,1,2020-10-22 17:39:06,1,22
CCD0E38232ED12E4,18AF3BFBCCD0E38232ED12E4AF1785FE,0F6874EDA6FBE306,C70DC119A9CB1A30,2020-10-15,07:35,|7D|,1,2020-10-14 07:45:29,0,15
657DF26709A7BB4C,C3365367657DF26709A7BB4C830A1AC9,3ED15FFCCE8B8EF8,96778F26954AF258,2020-10-13,07:12,|9D|,1,2020-10-13 07:05:23,0,13
269DD3C27FDCA6B8,3D8CF236269DD3C27FDCA6B832BBA5CE,32E574F1426482F1,89F5403D961A65E6,2020-10-09,17:35,|1B|,1,2020-10-09 17:46:02,1,9
01B19CCE66296BC2,66B4950601B19CCE66296BC2BAD5AD34,AB449CC133B20A6B,BE748320E2590217,2020-10-12,08:05,|1B|,1,2020-10-11 20:30:27,0,12
476A73101D64BBD5,24E349336838B1C546F34FEF4FC6B1DF,FF79F821F2C6F550,20A3FCBFB0682929,2020-10-22,07:47,|2B|,1,2020-10-20 11:31:42,0,22
94CCB59118F79C04,4029073985F7BF9E898952CF488ABF72,C9930343B8394794,6E74544ADDBA8687,2020-10-14,06:45,|C|,1,2020-10-13 14:52:30,0,14
613F85C7C5C0B9B4,219A488D6E4BF75118786F25182828F7,32B61C9D6E0C4944,9D5C93AAF64AD032,2020-10-10,07:25,|4B|,1,2020-10-10 06:57:30,0,10
97EC067EAD2DBFFB,1FF6A43097EC067EAD2DBFFB9259C303,FF79F821F2C6F550,B089B3F5693C2091,2020-10-12,17:37,|6D|,1,2020-10-12 17:11:13,0,12
62173FC04A4D02BE,AED2F2C662173FC04A4D02BE732D04E1,6BC9A7E72510FB3D,1B157B61C5287F7D,2020-10-26,18:10,|5A|,1,2020-10-25 15:49:00,1,26
AA98D1D4A212CBE7,0C866405AA98D1D4A212CBE75174E532,112B56F25E1FAECF,713480279996602A,2020-10-21,07:25,|11A|,1,2020-10-21 07:05:05,0,21
78364E79655CA495,CAB82EA373A5D094E459C84C1DB5ACD2,54D8F1F5FAEA8D60,FDE707F573F7B850,2020-10-21,17:45,|4B|,1,2020-10-21 14:22:49,1,21
F19BC63C082DDD3B,83732E61E56B1EF5D15014383C392B80,39A53B39EFCA4A75,08F976E3F14E37C8,2020-10-12,18:45,|2A|,1,2020-10-10 07:34:26,1,12
3AEFF1AE133037E9,8D9D8F343AEFF1AE133037E9D86F3527,452EFA42494BCEFA,02B80B0D667E6B2E,2020-10-09,07:25,|9D|,1,2020-10-08 18:43:24,0,9
B85B74AED9E503DD,D64BC274B85B74AED9E503DD31EB09E2,A02C7D64A5AD2330,56DBE2169ECFD0B8,2020-10-22,17:45,|3E|,1,2020-10-02 19:50:27,1,22
E39BEE8C2A638FF0,50F50E62E39BEE8C2A638FF069D0F425,FF79F821F2C6F550,20A3FCBFB0682929,2020-10-30,07:47,|1B|,1,2020-10-28 07:51:43,0,30
FAB7EC94E05B76E8,DD11C605FAB7EC94E05B76E88D377F1A,FF79F821F2C6F550,9D046EE2409818C1,2020-10-28,17:17,|10B|,1,2020-10-28 06:50:27,0,28
EEDEB3490FBB7C35,732F064CEEDEB3490FBB7C35241ED54D,CA776A97F60A36D1,4CCB7DBAD935C0A9,2020-10-27,07:25,|5D|,1,2020-10-26 06:57:39,0,27
25835023B84E9A23,C988672F25835023B84E9A23E9F89064,1CFF69F65E39CD80,A4597461B78F76DA,2020-10-10,07:10,|5B|,1,2020-10-08 15:06:20,0,10
B76678524715D870,F77EA7F3B76678524715D87077F00FF9,6F44A9D27A85F1AF,2CD180DD22078E9F,2020-10-20,07:40,|6D|,1,2020-10-20 01:17:03,0,20
60DD9A52EEE2C74F,0366E1F7A99F6BDFDF3378E177AF4E74,54D8F1F5FAEA8D60,FDE707F573F7B850,2020-10-12,06:50,|6E|,1,2020-10-12 06:21:52,0,12
66147CB82966CFB5,6DD72C1C10833FC41E4A38F5787C906C,AB449CC133B20A6B,9C93FB847B1E0E66,2020-10-22,08:05,|3B|,1,2020-10-21 13:42:05,0,22
791D770D2A690CA5,7A429903791D770D2A690CA5D4182ADD,55BEA2946ABF6400,3286195C14416FA0,2020-10-26,06:57,|8E|,1,2020-10-25 14:17:37,0,26
49A6AABE499DE7A1,B75AE36149A6AABE499DE7A19963D7B9,FF79F821F2C6F550,AB9093144F6B044A,2020-10-21,07:37,|5A|,1,2020-10-21 07:30:14,0,21
7189118C044D0299,938328E07189118C044D0299B89F543E,AB449CC133B20A6B,4993C4C98035F0A9,2020-10-15,07:45,|9D|,1,2020-10-15 02:05:15,0,15
26BDA66EB82A506C,D612EEBC26BDA66EB82A506CABDCA385,AB449CC133B20A6B,BE748320E2590217,2020-10-27,08:05,|10D|,1,2020-10-27 08:04:36,0,27
3CEE211B12D6BC51,39E06B343CEE211B12D6BC51E4E261C2,FF79F821F2C6F550,B089B3F5693C2091,2020-10-13,20:40,|8B|,1,2020-10-13 17:53:34,1,13
5638C1D394E9F3B1,A2347AA95638C1D394E9F3B11C2C90A2,FF79F821F2C6F550,20A3FCBFB0682929,2020-10-22,08:27,|1D|,1,2020-10-22 00:49:57,0,22
CC5A916B275468D8,3CF16CFACC5A916B275468D8F6726946,7FFED8F885B84129,519E9554120EA4B7,2020-10-09,07:20,|2B|,1,2020-10-08 23:14:59,0,9
CA8E169858A89F59,D478C340CA8E169858A89F59084C92A5,54D8F1F5FAEA8D60,FDE707F573F7B850,2020-10-13,06:50,|9B|,1,2020-10-12 17:37:12,0,13
